url, google maps link, basic info, walking, bicycling, transit,
https://chicago.craigslist.org/wcl/apa/d/re-let-beautiful-two-bedroom-units/7127331313.html, https://www.google.com/maps/search/42.035131,-87.763586, 2BR  /  1Ba available may 20 cats are OK - purrr apartment off-street parking wheelchair accessible, 4 hours 43 mins, 1 hour 24 mins, 1 hour 19 mins,
https://chicago.craigslist.org/wcl/apa/d/oak-park-beautiful-one-two-bedroom/7127330957.html, https://www.google.com/maps/search/41.886547,-87.800078, 1BR  /  1Ba available jun 1 apartment, 2 hours 54 mins, 54 mins, 51 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-2-blks-to-michigan-ave-great/7127330950.html, https://www.google.com/maps/search/41.894124,-87.628256, 0BR  /  1Ba 620 ft 2 available may 21 application fee details:  $200.00 move-in ...$200.00 refundable damage fee. apartment w/d in unit no smoking attached garage, 56 mins, 20 mins, 29 mins,
https://chicago.craigslist.org/wcl/apa/d/oak-park-gorgeous-studio-units-oak-park/7127330588.html, https://www.google.com/maps/search/41.885831,-87.800991, 0BR  /  1Ba available jun 1 cats are OK - purrr apartment street parking, 2 hours 56 mins, 54 mins, 51 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-newly-renovated-one/7127330184.html, https://www.google.com/maps/search/41.962488,-87.767188, 1BR  /  1Ba available may 20 cats are OK - purrr dogs are OK - wooof apartment street parking, 3 hours 16 mins, 1 hour 3 mins, 51 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-amazing-newly-renovated-two/7127329514.html, https://www.google.com/maps/search/41.965631,-87.709886, 2BR  /  1Ba available may 20 apartment, 2 hours 45 mins, 51 mins, Error Pulling Maps Info!,
https://chicago.craigslist.org/chc/apa/d/des-plaines-2-br-1-bath-luxurious/7127329388.html, https://www.google.com/maps/search/42.046700,-87.885900, 2BR  /  1Ba 1200 ft 2 available may 24 application fee details:  $200 for the condo association apartment laundry in bldg no smoking carport, 6 hours 8 mins, 1 hour 58 mins, 1 hour 32 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-two-bedroom-heat-included/7127329076.html, https://www.google.com/maps/search/41.750769,-87.556447, 2BR  /  1Ba 900 ft 2 available may 20 cats are OK - purrr dogs are OK - wooof apartment, 3 hours 54 mins, 1 hour 11 mins, 1 hour 7 mins,
https://chicago.craigslist.org/sox/apa/d/university-park-rent-to-own-4-bedroom/7127328682.html, https://www.google.com/maps/search/41.492234,-87.658944, 4BR  /  1Ba 1200 ft 2 available may 21 cats are OK - purrr dogs are OK - wooof house detached garage, 9 hours 11 mins, 2 hours 35 mins, 2 hours 21 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-newly-renovated-apartments-80th/7127327899.html, https://www.google.com/maps/search/41.741100,-87.654300, 2BR  /  1Ba available may 20 apartment street parking, 3 hours 8 mins, 54 mins, 1 hour 13 mins,
https://chicago.craigslist.org/chc/apa/d/beautiful-studio-one-bedroom-units/7127327535.html, https://www.google.com/maps/search/41.732286,-87.658096, 1BR  /  1Ba available may 20 apartment, 3 hours 23 mins, 57 mins, 1 hour 13 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-amazing-two-three-bedroom/7127327085.html, https://www.google.com/maps/search/41.805717,-87.611543, 2BR  /  1Ba available may 20 apartment no smoking, 2 hours 7 mins, 36 mins, 59 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-beautiful-four-bedroom-units-dr/7127326485.html, https://www.google.com/maps/search/41.859714,-87.720153, 4BR  /  0Ba available may 20 apartment, 1 hour 20 mins, 28 mins, 40 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-amazing-two-three-bedroom/7127326131.html, https://www.google.com/maps/search/41.805717,-87.611543, 3BR  /  1Ba available may 20 apartment no smoking, 2 hours 7 mins, 36 mins, 59 mins,
https://chicago.craigslist.org/nwc/apa/d/medinah-spacious-apartments-one-two/7127325743.html, https://www.google.com/maps/search/41.986523,-88.042421, 3BR  /  1Ba available may 20 cats are OK - purrr dogs are OK - wooof apartment, 7 hours 59 mins, 2 hours 42 mins, 1 hour 23 mins,
https://chicago.craigslist.org/chc/apa/d/des-plaines-2-br-1-bath-luxurious/7127325346.html, https://www.google.com/maps/search/42.046700,-87.885900, 2BR  /  1Ba available may 24 application fee details:  $200 for the cond association apartment laundry in bldg no smoking carport, 6 hours 8 mins, 1 hour 58 mins, 1 hour 32 mins,
https://chicago.craigslist.org/sox/apa/d/oak-lawn-beautiful-one-bedroom-apts/7127324863.html, https://www.google.com/maps/search/41.697772,-87.738751, 1BR  /  1Ba available may 20 apartment, 4 hours 50 mins, 1 hour 31 mins, 1 hour 29 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-room-avail-in-beautifully/7127324455.html, https://www.google.com/maps/search/41.874000,-87.650000, 1BR  /  1Ba 1356 ft 2 available jun 1 dogs are OK - wooof furnished loft w/d in unit no smoking attached garage, 6 mins, 1 min, 6 mins,
https://chicago.craigslist.org/chc/apa/d/chicago-two-bedroom-apartment-only-810/7127322967.html, https://www.google.com/maps/search/41.794192,-87.624580, 2BR  /  1Ba 715 ft 2 available may 20 cats are OK - purrr dogs are OK - wooof apartment laundry on site, 2 hours 11 mins, 37 mins, 48 mins,
